chr,start,end,name,score,strand,gc,gc_bin,chrom,feature_id,feature_bin,feature_type_top,feature_types,gene_name,gene_id,transcript_ids,gene_type_top,transcript_type_top,gene_types,transcript_types,input_sum,clip_sum,enrichment_n,enrichment_l2or_min,enrichment_l2or_mean,enrichment_l2or_max,p_max,p_min,q_max,q_min,symbol,expression,unique_ID,tscript_start,tscript_end,tscript_length
chr5,56894471,56894569,1623524,0,+,0.367347,"(0.354,0.382]",chr5,173255,9,UTR3,UTR3:EXON_MRNA,MAP3K1,ENSG00000095015.6,ENST00000399503.4,protein_coding,protein_coding,protein_coding,protein_coding,2,20,2,2.78853,3.38282,3.97711,0.0326231,0.00391306,0.109278,0.0280924,MAP3K1,up,MAP3K1_1623524,56815549,56896152,80603
chr14,49895160,49895260,4011078,0,+,0.31,"(0.29,0.327]",chr14,417118,10,UTR3,UTR3:EXON_MRNA,ARF6,ENSG00000165527.8,ENST00000693319.1:ENST00000298316.7,protein_coding,protein_coding,protein_coding,protein_coding,5,37,2,1.68607,3.382515,5.07896,0.029757,0.00335641,0.0972945,0.0488022,ARF6,up,ARF6_4011078,49893079,49897054,3975
chr13,94590852,94590943,3978942,0,-,0.351648,"(0.327,0.354]",chr13,413107,1,CDS,CDS:EXON_MRNA,TGDS,ENSG00000088451.11,ENST00000261296.7:ENST00000498294.5,protein_coding,protein_coding,protein_coding,protein_coding:protein_coding_CDS_not_defined,1,21,2,2.12819,3.38123,4.63427,0.0820529,0.000531217,0.151315,0.00760204,TGDS,up,TGDS_3978942,94574054,94596152,22098
chr11,108173267,108173364,3522864,0,-,0.268041,"[0,0.29]",chr11,362921,12,CDS,CDS:EXON_MRNA,NPAT,ENSG00000149308.18,ENST00000850623.1:ENST00000278612.9,protein_coding,protein_coding,protein_coding,protein_coding,1,21,2,2.71852,3.38099,4.04346,0.0702659,0.0166461,0.14152,0.0702103,NPAT,up,NPAT_3522864,108157215,108222638,65423
chr2,68397356,68397453,594082,0,+,0.268041,"[0,0.29]",chr2,69683,17,UTR3,UTR3:EXON_MRNA,PLEK,ENSG00000115956.10,ENST00000234313.8,protein_coding,protein_coding,protein_coding,protein_coding,1,21,2,2.71852,3.38099,4.04346,0.0702659,0.0166461,0.14152,0.0702103,PLEK,up,PLEK_594082,68365282,68397453,32171
chr20,36047286,36047384,5262148,0,-,0.357143,"(0.354,0.382]",chr20,581102,18,EXON_LNCRNA,EXON_LNCRNA:SS3_PROX:INTRON,NORAD,ENSG00000260032.3,ENST00000565493.2:ENST00000796928.1,lncRNA,lncRNA,lncRNA,lncRNA,3,42,2,3.14792,3.38092,3.61392,0.00512741,4.73607e-05,0.0560496,0.00150741,NORAD,up,NORAD_5262148,36045618,36051018,5400
chr10,5763474,5763563,3047457,0,+,0.247191,"[0,0.29]",chr10,309322,6,UTR3,UTR3:EXON_MRNA,TASOR2,ENSG00000108021.22,ENST00000695832.1:ENST00000695737.1:ENST00000699050.1:ENST00000695836.1:ENST00000645567.1:ENST00000459693.1,protein_coding,protein_coding,protein_coding,protein_coding:retained_intron:nonsense_mediated_decay,2,50,2,2.66768,3.377045,4.08641,0.030887,3.34002e-05,0.107317,0.00120231,TASOR2,up,TASOR2_3047457,5684845,5763740,78895
chr14,57289381,57289481,4022173,0,+,0.36,"(0.354,0.382]",chr14,418054,6,UTR3,UTR3:EXON_MRNA,AP5M1,ENSG00000053770.12,ENST00000261558.8,protein_coding,protein_coding,protein_coding,protein_coding,1,16,2,2.77251,3.37481,3.97711,0.0326231,0.017525,0.109278,0.0724683,AP5M1,up,AP5M1_4022173,57268971,57298742,29771
chr18,20950685,20950785,4946804,0,-,0.31,"(0.29,0.327]",chr18,531423,62,UTR3,UTR3:EXON_MRNA,ROCK1,ENSG00000067900.9,ENST00000635540.2:ENST00000399799.3,protein_coding,protein_coding,protein_coding,protein_coding:nonsense_mediated_decay,1,25,2,2.27419,3.367345,4.4605,0.0652399,0.00132813,0.139386,0.0136022,ROCK1,up,ROCK1_4946804,20946906,21111813,164907
chr10,87970837,87970936,3121953,0,+,0.323232,"(0.29,0.327]",chr10,315457,55,UTR3,UTR3:EXON_MRNA,PTEN,ENSG00000171862.16,ENST00000693560.1:ENST00000688158.2,protein_coding,protein_coding,protein_coding,protein_coding:retained_intron,0,12,2,3.00098,3.36717,3.73336,0.0865335,0.080556,0.181705,0.151315,PTEN,up,PTEN_3121953,87863438,87971930,108492
chr20,49033997,49034097,5214690,0,+,0.31,"(0.29,0.327]",chr20,575120,9,UTR3,UTR3:EXON_MRNA,ARFGEF2,ENSG00000124198.10,ENST00000371917.5:ENST00000679436.1:ENST00000679747.1:ENST00000680130.1,protein_coding,protein_coding,protein_coding,protein_coding:retained_intron,0,12,2,3.00098,3.36717,3.73336,0.0865335,0.080556,0.181705,0.151315,ARFGEF2,up,ARFGEF2_5214690,48921711,49036693,114982
chr5,119170684,119170784,1693616,0,+,0.31,"(0.29,0.327]",chr5,179461,6,CDS,CDS:EXON_MRNA,DMXL1,ENSG00000172869.15,ENST00000539542.6:ENST00000311085.8,protein_coding,protein_coding,protein_coding,protein_coding,0,12,2,3.00098,3.36717,3.73336,0.0865335,0.080556,0.181705,0.151315,DMXL1,up,DMXL1_1693616,119071087,119249127,178040
chr8,38972720,38972820,2602592,0,+,0.31,"(0.29,0.327]",chr8,264989,22,UTR3,UTR3:EXON_MRNA,PLEKHA2,ENSG00000169499.15,ENST00000617275.5,protein_coding,protein_coding,protein_coding,protein_coding,0,12,2,3.00098,3.36717,3.73336,0.0865335,0.080556,0.181705,0.151315,PLEKHA2,up,PLEKHA2_2602592,38901346,38973912,72566
chr8,102208232,102208285,2750721,0,-,0.301887,"(0.29,0.327]",chr8,278483,1,CDS,CDS:EXON_MRNA,RRM2B,ENSG00000048392.13,ENST00000251810.8:ENST00000522368.5:ENST00000519317.5:ENST00000395912.6,protein_coding,protein_coding,protein_coding,protein_coding,0,12,2,3.00098,3.36717,3.73336,0.0865335,0.080556,0.181705,0.151315,RRM2B,up,RRM2B_2750721,102204502,102238961,34459
chr7,105090185,105090273,2353185,0,+,0.375,"(0.354,0.382]",chr7,242104,3,CDS,CDS:UTR3:EXON_MRNA,KMT2E,ENSG00000005483.23,ENST00000257745.9:ENST00000479838.3:ENST00000334884.9:ENST00000311117.8:ENST00000473063.2:ENST00000474203.6:ENST00000476671.5:ENST00000478079.2,protein_coding,protein_coding,protein_coding,protein_coding:nonsense_mediated_decay,2,21,2,2.29543,3.365775,4.43612,0.0238413,0.0104272,0.0838224,0.0726393,KMT2E,up,KMT2E_2353185,105014205,105115019,100814
chr1,13782438,13782536,19120,0,+,0.469388,"(0.442,0.48]",chr1,2606,42,CDS,CDS:EXON_MRNA:INTRON,PRDM2,ENSG00000116731.23,ENST00000311066.10:ENST00000376048.9:ENST00000235372.11:ENST00000491134.5:ENST00000413440.5:ENST00000343137.8,protein_coding,protein_coding,protein_coding,protein_coding:nonsense_mediated_decay,1,13,2,3.13743,3.36483,3.59223,0.053629,0.00673487,0.129297,0.0389585,PRDM2,up,PRDM2_19120,13704855,13825079,120224
chr10,91864682,91864781,3125968,0,+,0.282828,"[0,0.29]",chr10,316071,18,UTR3,UTR3:EXON_MRNA,TNKS2,ENSG00000107854.7,ENST00000371627.5,protein_coding,protein_coding,protein_coding,protein_coding,1,22,2,2.377,3.36239,4.34778,0.0434188,0.0403961,0.119218,0.114819,TNKS2,up,TNKS2_3125968,91798426,91865475,67049
chr9,34087760,34087858,2954039,0,-,0.316327,"(0.29,0.327]",chr9,297979,15,UTR3,UTR3:EXON_MRNA,DCAF12,ENSG00000198876.13,ENST00000361264.9,protein_coding,protein_coding,protein_coding,protein_coding,1,18,2,3.14704,3.361985,3.57693,0.103566,0.00394711,0.1674,0.0280924,DCAF12,up,DCAF12_2954039,34086387,34126698,40311
chr18,21865164,21865264,4887851,0,+,0.34,"(0.327,0.354]",chr18,527171,6,UTR3,UTR3:EXON_MRNA,MIB1,ENSG00000101752.13,ENST00000261537.7:ENST00000695487.1,protein_coding,protein_coding,protein_coding,protein_coding:retained_intron,2,22,2,2.21322,3.3613350000000004,4.50945,0.0291957,0.00963263,0.0957156,0.0706334,MIB1,up,MIB1_4887851,21740792,21870953,130161
chr3,168009379,168009478,1311991,0,-,0.333333,"(0.327,0.354]",chr3,143241,8,UTR3,UTR3:EXON_MRNA,GOLIM4,ENSG00000173905.9,ENST00000470487.6,protein_coding,protein_coding,protein_coding,protein_coding,1,16,2,2.90598,3.36004,3.8141,0.049979,0.010856,0.124289,0.0512584,GOLIM4,up,GOLIM4_1311991,168008689,168095924,87235
chr8,132011287,132011385,2668871,0,+,0.387755,"(0.382,0.41]",chr8,270704,5,UTR3,UTR3:EXON_MRNA,EFR3A,ENSG00000132294.15,ENST00000254624.10,protein_coding,protein_coding,protein_coding,protein_coding,1,15,2,2.86708,3.359255,3.85143,0.040155,0.0137619,0.114819,0.0607062,EFR3A,up,EFR3A_2668871,131904093,132013642,109549
chr1,180093948,180094043,190113,0,+,0.368421,"(0.354,0.382]",chr1,23871,15,CDS,CDS:EXON_MRNA,CEP350,ENSG00000135837.18,ENST00000367607.8:ENST00000705470.1,protein_coding,protein_coding,protein_coding,protein_coding:protein_coding_CDS_not_defined,0,10,2,3.21346,3.357365,3.50127,0.0827335,0.0540734,0.151315,0.137351,CEP350,up,CEP350_190113,179954810,180114875,160065
chr12,92816199,92816266,3777223,0,-,0.358209,"(0.354,0.382]",chr12,393888,1,CDS,CDS:UTR3:EXON_MRNA,EEA1,ENSG00000102189.17,ENST00000322349.13:ENST00000418984.7,protein_coding,protein_coding,protein_coding,protein_coding:nonsense_mediated_decay,0,10,2,3.21346,3.357365,3.50127,0.0827335,0.0540734,0.151315,0.137351,EEA1,up,EEA1_3777223,92770637,92929295,158658
chr21,29326153,29326248,5296111,0,+,0.378947,"(0.354,0.382]",chr21,585184,2,CDS,CDS:EXON_MRNA,BACH1,ENSG00000156273.16,ENST00000286800.8:ENST00000399921.5:ENST00000435072.1,protein_coding,protein_coding,protein_coding,protein_coding,0,10,2,3.21346,3.357365,3.50127,0.0827335,0.0540734,0.151315,0.137351,BACH1,up,BACH1_5296111,29299416,29346148,46732
chr3,125233039,125233139,1276377,0,-,0.38,"(0.354,0.382]",chr3,139698,7,CDS,CDS:EXON_MRNA,ZNF148,ENSG00000163848.21,ENST00000360647.9:ENST00000484491.5,protein_coding,protein_coding,protein_coding,protein_coding,0,10,2,3.21346,3.357365,3.50127,0.0827335,0.0540734,0.151315,0.137351,ZNF148,up,ZNF148_1276377,125225669,125375325,149656
chr7,92001543,92001643,2331984,0,+,0.38,"(0.354,0.382]",chr7,238961,8,CDS,CDS:EXON_MRNA,AKAP9,ENSG00000127914.19,ENST00000681412.1:ENST00000679722.1:ENST00000680074.1:ENST00000493453.1:ENST00000359028.7,protein_coding,protein_coding,protein_coding,protein_coding:retained_intron:protein_coding_CDS_not_defined,0,10,2,3.21346,3.357365,3.50127,0.0827335,0.0540734,0.151315,0.137351,AKAP9,up,AKAP9_2331984,91940878,92110640,169762
chr7,129831219,129831317,2528118,0,-,0.377551,"(0.354,0.382]",chr7,257750,6,UTR3,UTR3:EXON_MRNA,UBE2H,ENSG00000186591.13,ENST00000355621.8,protein_coding,protein_coding,protein_coding,protein_coding,0,10,2,3.21346,3.357365,3.50127,0.0827335,0.0540734,0.151315,0.137351,UBE2H,up,UBE2H_2528118,129830732,129952960,122228
chr17,61972807,61972888,4842043,0,-,0.444444,"(0.442,0.48]",chr17,520653,2,CDS,CDS:EXON_MRNA,MED13,ENSG00000108510.10,ENST00000397786.7,protein_coding,protein_coding,protein_coding,protein_coding,3,33,2,3.05839,3.35645,3.65451,0.00602935,6.54543e-05,0.0590321,0.00191069,MED13,up,MED13_4842043,61942605,62065278,122673
chr3,56623566,56623639,1213442,0,-,0.246575,"[0,0.29]",chr3,135857,1,UTR3,UTR3:EXON_MRNA:SS3_ADJ:SS3_PROX:INTRON,TASOR,ENSG00000163946.14,ENST00000683822.1:ENST00000431842.6:ENST00000493960.6:ENST00000485156.1,protein_coding,protein_coding,protein_coding,protein_coding:protein_coding_CDS_not_defined,1,21,2,2.55784,3.355015,4.15219,0.0581956,0.026798,0.133139,0.0897606,TASOR,up,TASOR_1213442,56620132,56683265,63133
chr9,34087661,34087760,2954038,0,-,0.313131,"(0.29,0.327]",chr9,297979,14,UTR3,UTR3:EXON_MRNA,DCAF12,ENSG00000198876.13,ENST00000361264.9,protein_coding,protein_coding,protein_coding,protein_coding,3,30,2,1.81736,3.35488,4.8924,0.0434023,0.00588766,0.119218,0.0586669,DCAF12,up,DCAF12_2954038,34086387,34126698,40311
chr14,77336515,77336614,4146633,0,-,0.434343,"(0.41,0.442]",chr14,432414,16,UTR3,UTR3:EXON_MRNA,TMED8,ENSG00000100580.8,ENST00000216468.8,protein_coding,protein_coding,protein_coding,protein_coding,1,15,2,2.68856,3.354255,4.01995,0.0249224,0.0248517,0.0973574,0.0863488,TMED8,up,TMED8_4146633,77335029,77377094,42065
chr2,174561613,174561710,900224,0,-,0.43299,"(0.41,0.442]",chr2,102089,22,UTR3,UTR3:EXON_MRNA,WIPF1,ENSG00000115935.19,ENST00000392547.6:ENST00000698668.1:ENST00000679041.1:ENST00000436221.2:ENST00000698666.1:ENST00000272746.9,protein_coding,protein_coding,protein_coding,protein_coding:retained_intron,1,15,2,2.68856,3.354255,4.01995,0.0249224,0.0248517,0.0973574,0.0863488,WIPF1,up,WIPF1_900224,174559574,174597804,38230
chr6,47609213,47609304,1974974,0,+,0.384615,"(0.382,0.41]",chr6,207563,2,CDS,CDS:EXON_MRNA,CD2AP,ENSG00000198087.7,ENST00000359314.5:ENST00000486693.1,protein_coding,protein_coding,protein_coding,protein_coding:protein_coding_CDS_not_defined,2,19,2,2.58074,3.3516950000000003,4.12265,0.0217027,0.00971649,0.0939121,0.049316,CD2AP,up,CD2AP_1974974,47477789,47627263,149474
chr3,56623480,56623566,1213441,0,-,0.372093,"(0.354,0.382]",chr3,135856,5,CDS,CDS:UTR3:EXON_MRNA,TASOR,ENSG00000163946.14,ENST00000683822.1:ENST00000431842.6:ENST00000493960.6:ENST00000485156.1,protein_coding,protein_coding,protein_coding,protein_coding:protein_coding_CDS_not_defined,2,24,2,1.83814,3.348595,4.85905,0.0810116,0.00286535,0.17849,0.0455776,TASOR,up,TASOR_1213441,56620132,56683265,63133
chr11,10801024,10801087,3439367,0,-,0.460317,"(0.442,0.48]",chr11,352044,2,CDS,CDS:EXON_MRNA,EIF4G2,ENSG00000110321.19,ENST00000339995.11:ENST00000532383.5:ENST00000396525.7:ENST00000530564.1,protein_coding,protein_coding,protein_coding,protein_coding:retained_intron,8,30,2,2.06559,3.34605,4.62651,0.00452272,0.00349154,0.0491718,0.030721,EIF4G2,up,EIF4G2_3439367,10797050,10807973,10923
chr4,13614370,13614458,1482224,0,-,0.375,"(0.354,0.382]",chr4,160366,3,CDS,CDS:EXON_MRNA,BOD1L1,ENSG00000038219.13,ENST00000040738.10:ENST00000507943.2,protein_coding,protein_coding,protein_coding,protein_coding,2,27,2,1.85399,3.345605,4.83722,0.0609919,0.00019154,0.135696,0.00390833,BOD1L1,up,BOD1L1_1482224,13568738,13627725,58987
chr13,40556062,40556161,3929024,0,-,0.323232,"(0.29,0.327]",chr13,409803,5,UTR3,UTR3:EXON_MRNA,FOXO1,ENSG00000150907.10,ENST00000379561.6,protein_coding,protein_coding,protein_coding,protein_coding,2,23,2,2.56878,3.3449,4.12102,0.0392532,0.00749848,0.114819,0.0416532,FOXO1,up,FOXO1_3929024,40555667,40666641,110974
chr3,5217593,5217691,963901,0,+,0.244898,"[0,0.29]",chr3,109819,18,UTR3,UTR3:EXON_MRNA,EDEM1,ENSG00000134109.11,ENST00000256497.9,protein_coding,protein_coding,protein_coding,protein_coding,2,49,2,2.72058,3.342035,3.96349,0.0272023,6.95075e-05,0.103483,0.00191069,EDEM1,up,EDEM1_963901,5187707,5219958,32251
chr6,46637903,46637978,2122721,0,-,0.293333,"(0.29,0.327]",chr6,221268,2,CDS,CDS:EXON_MRNA,CYP39A1,ENSG00000146233.8,ENST00000275016.3,protein_coding,protein_coding,protein_coding,protein_coding,1,19,2,2.44904,3.339575,4.23011,0.0383846,0.0312223,0.113808,0.107317,CYP39A1,up,CYP39A1_2122721,46549580,46652818,103238
chr5,103194962,103195025,1679774,0,+,0.492063,"(0.48,0.52]",chr5,178370,2,CDS,CDS:EXON_MRNA,PPIP5K2,ENSG00000145725.21,ENST00000321521.13:ENST00000698750.1:ENST00000613674.4:ENST00000509597.5:ENST00000504083.1,protein_coding,protein_coding,protein_coding,protein_coding:retained_intron,1,12,2,3.03872,3.33899,3.63926,0.0429507,0.0111054,0.119762,0.0513901,PPIP5K2,up,PPIP5K2_1679774,103120200,103212799,92599
chr4,99869139,99869235,1420187,0,+,0.427083,"(0.41,0.442]",chr4,153755,11,UTR3,UTR3:EXON_MRNA,DAPP1,ENSG00000070190.13,ENST00000512369.2:ENST00000514301.1,protein_coding,protein_coding,protein_coding,protein_coding:retained_intron,2,18,2,2.65517,3.33756,4.01995,0.0248517,0.0078291,0.0973574,0.0427227,DAPP1,up,DAPP1_1420187,99816833,99870154,53321
chr20,53568822,53568920,5284046,0,-,0.346939,"(0.327,0.354]",chr20,583555,19,UTR3,UTR3:EXON_MRNA,ZNF217,ENSG00000171940.14,ENST00000371471.7:ENST00000437222.1,protein_coding,protein_coding,protein_coding,protein_coding,4,50,2,3.20086,3.336175,3.47149,0.00447014,1.71295e-05,0.0541709,0.000767321,ZNF217,up,ZNF217_5284046,53567071,53593839,26768
chr11,108251933,108252031,3395629,0,+,0.357143,"(0.354,0.382]",chr11,346168,2,CDS,CDS:UTR3:EXON_MRNA,ATM,ENSG00000149311.22,ENST00000601453.3:ENST00000452508.7:ENST00000675843.1:ENST00000713593.1:ENST00000683174.2:ENST00000531525.3:ENST00000713844.1:ENST00000684061.1:ENST00000683605.1,protein_coding,protein_coding,protein_coding,protein_coding:retained_intron:nonsense_mediated_decay,1,15,2,3.16685,3.33406,3.50127,0.0827335,0.00438572,0.151315,0.0299515,ATM,up,ATM_3395629,108223116,108369102,145986
chr12,116861268,116861367,3812880,0,-,0.525253,"(0.52,0.582]",chr12,397861,53,UTR3,UTR3:EXON_MRNA,HRK,ENSG00000135116.9,ENST00000257572.5:ENST00000552092.1,protein_coding,protein_coding,protein_coding,protein_coding:protein_coding_CDS_not_defined,2,16,2,2.27082,3.333805,4.39679,0.0444062,0.00522891,0.121257,0.0560496,HRK,up,HRK_3812880,116856144,116881441,25297
chr1,198322220,198322320,201399,0,+,0.3,"(0.29,0.327]",chr1,25022,28,UTR3,UTR3:EXON_MRNA,NEK7,ENSG00000151414.15,ENST00000367385.9,protein_coding,protein_coding,protein_coding,protein_coding,2,23,2,2.43667,3.33339,4.23011,0.0312223,0.0122193,0.107317,0.0550392,NEK7,up,NEK7_201399,198156998,198322420,165422
chr11,108289601,108289701,3396028,0,+,0.32,"(0.29,0.327]",chr11,346266,1,CDS,CDS:UTR3:EXON_MRNA,ATM,ENSG00000149311.22,ENST00000601453.3:ENST00000452508.7:ENST00000675843.1:ENST00000713593.1:ENST00000683174.2:ENST00000531525.3:ENST00000713844.1:ENST00000533733.6,protein_coding,protein_coding,protein_coding,protein_coding:retained_intron:nonsense_mediated_decay,2,23,2,2.43667,3.33339,4.23011,0.0312223,0.0122193,0.107317,0.0550392,ATM,up,ATM_3396028,108223116,108369102,145986
chr8,66631246,66631345,2721000,0,-,0.30303,"(0.29,0.327]",chr8,276137,29,UTR3,UTR3:EXON_MRNA,VCPIP1,ENSG00000175073.8,ENST00000310421.5,protein_coding,protein_coding,protein_coding,protein_coding,2,23,2,2.43667,3.33339,4.23011,0.0312223,0.0122193,0.107317,0.0550392,VCPIP1,up,VCPIP1_2721000,66628487,66667231,38744
chr12,71787959,71788058,3633392,0,+,0.444444,"(0.442,0.48]",chr12,375079,24,UTR3,UTR3:EXON_MRNA,RAB21,ENSG00000080371.6,ENST00000261263.5,protein_coding,protein_coding,protein_coding,protein_coding,2,26,2,2.81916,3.333095,3.84703,0.0132313,0.000268923,0.0784296,0.00485257,RAB21,up,RAB21_3633392,71754863,71800286,45423
chr17,39792759,39792846,4805120,0,-,0.344828,"(0.327,0.354]",chr17,515059,2,CDS,CDS:EXON_MRNA,IKZF3,ENSG00000161405.18,ENST00000346872.8:ENST00000467757.5,protein_coding,protein_coding,protein_coding,protein_coding,2,20,2,2.70546,3.330635,3.95581,0.0373714,0.00517163,0.11429,0.0328823,IKZF3,up,IKZF3_4805120,39757718,39864312,106594
chr3,143057344,143057444,1082895,0,+,0.38,"(0.354,0.382]",chr3,122619,10,UTR3,UTR3:EXON_MRNA,U2SURP,ENSG00000163714.18,ENST00000473835.7:ENST00000463563.6,protein_coding,protein_coding,protein_coding,protein_coding:nonsense_mediated_decay,1,15,2,2.98311,3.330505,3.6779,0.0601921,0.00870918,0.134039,0.0468787,U2SURP,up,U2SURP_1082895,143001570,143060725,59155
chr3,69023176,69023276,1243492,0,-,0.31,"(0.29,0.327]",chr3,136888,1,CDS_STOP,CDS_STOP:CDS:UTR3:EXON_MRNA,TMF1,ENSG00000144747.17,ENST00000398559.7:ENST00000646708.1:ENST00000488010.5,protein_coding,protein_coding,protein_coding,protein_coding:nonsense_mediated_decay,1,18,2,2.65764,3.330325,4.00301,0.0496072,0.0214406,0.124289,0.078542,TMF1,up,TMF1_1243492,69019827,69052333,32506
chr6,46145114,46145213,1973357,0,+,0.30303,"(0.29,0.327]",chr6,207414,16,UTR3,UTR3:EXON_MRNA,ENPP4,ENSG00000001561.7,ENST00000321037.5,protein_coding,protein_coding,protein_coding,protein_coding,1,18,2,2.65764,3.330325,4.00301,0.0496072,0.0214406,0.124289,0.078542,ENPP4,up,ENPP4_1973357,46129989,46146688,16699
chr1,51355821,51355919,335158,0,-,0.428571,"(0.41,0.442]",chr1,41494,17,UTR3,UTR3:EXON_MRNA,EPS15,ENSG00000085832.18,ENST00000371733.8:ENST00000493793.2:ENST00000706288.1:ENST00000706290.1:ENST00000706292.1,protein_coding,protein_coding,protein_coding,protein_coding:protein_coding_CDS_not_defined,1,14,2,2.93657,3.32833,3.72009,0.04809,0.0114882,0.124289,0.0524328,EPS15,up,EPS15_335158,51354283,51519247,164964
chr3,193614881,193614961,1136376,0,+,0.4125,"(0.41,0.442]",chr3,127346,3,CDS,CDS:EXON_MRNA,OPA1,ENSG00000198836.11,ENST00000361908.8:ENST00000646277.1:ENST00000392436.7:ENST00000392437.6:ENST00000644959.1,protein_coding,protein_coding,protein_coding,protein_coding:nonsense_mediated_decay,1,14,2,2.93657,3.32833,3.72009,0.04809,0.0114882,0.124289,0.0524328,OPA1,up,OPA1_1136376,193593208,193697811,104603
chr4,73574539,73574639,1520727,0,-,0.28,"[0,0.29]",chr4,163898,31,UTR3,UTR3:EXON_MRNA,RASSF6,ENSG00000169435.14,ENST00000307439.10:ENST00000342081.7:ENST00000395777.6,protein_coding,protein_coding,protein_coding,protein_coding,1,20,2,2.99447,3.32588,3.65729,0.126935,0.00656821,0.194221,0.0384655,RASSF6,up,RASSF6_1520727,73571550,73620436,48886
chr4,102617036,102617125,1421406,0,+,0.224719,"[0,0.29]",chr4,153888,6,UTR3,UTR3:EXON_MRNA,NFKB1,ENSG00000109320.14,ENST00000226574.9:ENST00000600343.5:ENST00000698233.1,protein_coding,protein_coding,protein_coding,protein_coding:retained_intron,1,20,2,2.99447,3.32588,3.65729,0.126935,0.00656821,0.194221,0.0384655,NFKB1,up,NFKB1_1421406,102501330,102617301,115971
chr6,145799119,145799217,2213636,0,-,0.255102,"[0,0.29]",chr6,228771,58,UTR3,UTR3:EXON_MRNA,FBXO30,ENSG00000118496.5,ENST00000237281.5,protein_coding,protein_coding,protein_coding,protein_coding,1,20,2,2.99447,3.32588,3.65729,0.126935,0.00656821,0.194221,0.0384655,FBXO30,up,FBXO30_2213636,145793502,145814795,21293
chr17,67904770,67904840,4719512,0,+,0.342857,"(0.327,0.354]",chr17,502862,2,CDS,CDS:EXON_MRNA,BPTF,ENSG00000171634.19,ENST00000306378.11:ENST00000582467.2:ENST00000544778.6:ENST00000424123.7,protein_coding,protein_coding,protein_coding,protein_coding,1,16,2,2.69584,3.325825,3.95581,0.0373714,0.021238,0.11429,0.0783477,BPTF,up,BPTF_4719512,67825503,67984378,158875
chr8,132011385,132011483,2668872,0,+,0.346939,"(0.327,0.354]",chr8,270704,6,UTR3,UTR3:EXON_MRNA,EFR3A,ENSG00000132294.15,ENST00000254624.10,protein_coding,protein_coding,protein_coding,protein_coding,1,16,2,2.69584,3.325825,3.95581,0.0373714,0.021238,0.11429,0.0783477,EFR3A,up,EFR3A_2668872,131904093,132013642,109549
chr9,34086582,34086680,2954027,0,-,0.285714,"[0,0.29]",chr9,297979,3,UTR3,UTR3:EXON_MRNA,DCAF12,ENSG00000198876.13,ENST00000361264.9,protein_coding,protein_coding,protein_coding,protein_coding,2,27,2,2.13067,3.32533,4.51999,0.0296528,0.0284581,0.103609,0.0970175,DCAF12,up,DCAF12_2954027,34086387,34126698,40311
chr1,113977504,113977604,129714,0,+,0.33,"(0.327,0.354]",chr1,15669,41,UTR3,UTR3:EXON_MRNA,HIPK1,ENSG00000163349.22,ENST00000369558.5,protein_coding,protein_coding,protein_coding,protein_coding,4,29,2,1.74153,3.325045,4.90856,0.0402241,0.0028517,0.116402,0.0455776,HIPK1,up,HIPK1_129714,113929324,113977869,48545
chr5,66053984,66054081,1635422,0,+,0.412371,"(0.41,0.442]",chr5,174149,7,CDS,CDS:EXON_MRNA:INTRON,ERBIN,ENSG00000112851.16,ENST00000380943.6:ENST00000416865.6:ENST00000284037.10:ENST00000699009.1:ENST00000506030.6:ENST00000511297.5:ENST00000511671.6,protein_coding,protein_coding,protein_coding,protein_coding,1,18,2,2.18046,3.323995,4.46753,0.07117,0.00108286,0.142572,0.0122524,ERBIN,up,ERBIN_1635422,65926575,66082546,155971
chr14,31100748,31100838,4104804,0,-,0.333333,"(0.327,0.354]",chr14,427034,8,UTR3,UTR3:EXON_MRNA,HECTD1,ENSG00000092148.14,ENST00000399332.6:ENST00000555843.5:ENST00000692835.1:ENST00000611816.5:ENST00000692132.1,protein_coding,protein_coding,protein_coding,protein_coding:retained_intron,0,10,2,3.16105,3.320795,3.48054,0.0913958,0.060647,0.157616,0.146568,HECTD1,up,HECTD1_4104804,31100117,31207793,107676
chr4,56934646,56934746,1393923,0,+,0.35,"(0.327,0.354]",chr4,151798,26,UTR3,UTR3:EXON_MRNA,REST,ENSG00000084093.19,ENST00000309042.12,protein_coding,protein_coding,protein_coding,protein_coding,0,10,2,3.16105,3.320795,3.48054,0.0913958,0.060647,0.157616,0.146568,REST,up,REST_1393923,56909190,56935822,26632
chr18,51175212,51175307,4970278,0,-,0.389474,"(0.382,0.41]",chr18,533563,8,UTR3,UTR3:EXON_MRNA,MEX3C,ENSG00000176624.12,ENST00000406189.4,protein_coding,protein_coding,protein_coding,protein_coding,3,38,2,3.0049,3.320615,3.63633,0.0080501,4.66259e-05,0.0652478,0.00150451,MEX3C,up,MEX3C_4970278,51174550,51197681,23131
chr16,8915444,8915525,4532748,0,-,0.444444,"(0.442,0.48]",chr16,478396,1,CDS,CDS:UTR3:EXON_MRNA,USP7,ENSG00000187555.17,ENST00000344836.9:ENST00000563961.5:ENST00000381886.8:ENST00000565455.5:ENST00000700579.1,protein_coding,protein_coding,protein_coding,protein_coding:protein_coding_CDS_not_defined:nonsense_mediated_decay,2,16,2,2.86936,3.3196,3.76984,0.0369671,0.00412907,0.11429,0.028582,USP7,up,USP7_4532748,8892097,8963906,71809
